Cancer associated genes (CAG)
ABL1
ACVR1
ACVR1B
ACVR2A
AFF1
AFF4
AGAP2
AGR2
AIM2
AJUBA
AKAP13
AKIP1
AKT1
AKT2
ALB
ALK
AMER1
APC
APOB
AR
ARAF
ARHGAP20
ARHGAP26
ARHGAP35
ARHGEF12
ARHGEF5
ARID1A
ARID1B
ARID2
ARID3B
ARID5B
ASPSCR1
ASXL1
ASXL2
ATF7IP
ATM
ATR
ATRX
ATXN3
AURKA
AXIN1
AXIN2
AXL
B2M
BANP
BAP1
BAX
BCAS3
BCAS4
BCL10
BCL2
BCL2L11
BCL3
BCL6
BCOR
BCR
BIN1
BMI1
BRAF
BRCA1
BRCA2
BRCC3
BRD7
BRI3BP
BRMS1
BTG1
BTG2
CACNA1A
CADM1
CADM4
CARD11
CARS
CASP8
CBFB
CBL
CBWD3
CCDC6
CCND1
CCNL1
CD70
CD79B
CDC73
CDH1
CDK12
CDK2AP1
CDK4
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2C
CDKN2D
CEBPA
CHD3
CHD4
CHD5
CHD8
CHEK2
CIC
CMC4
CNBD1
COL5A1
CREB3L2
CREB3L3
CREBBP
CREBL2
CRK
CSDE1
CSF1R
CSNK2A3
CTCF
CTNNB1
CTNND1
CUL1
CUL3
CYLD
CYSLTR2
DAB2
DAB2IP
DACH1
DAPK3
DAZAP1
DCUN1D1
DDIT3
DDX3X
DDX6
DEK
DFNA5
DHX9
DIAPH2
DICER1
DIS3L2
DLC1
DLEC1
DMD
DMTF1
DMTN
DNMT1
DNMT3A
DOCK4
DPH1
EEF1A1
EEF2
EFNA1
EGFR
EGR3
EIF1AX
ELAC2
ELF3
ELF4
ELL
ENTPD5
EP300
EPAS1
EPB41L3
EPHA2
EPHA3
EPHB2
EPS15
ERBB2
ERBB3
ERBB4
ERCC2
ERG
ERRFI1
ESR1
ETS1
ETS2
ETV1
ETV6
EVI2A
EVI2B
EWSR1
EXT1
EXT2
EZH2
FAM120A
FAM46D
FAT1
FBXW7
FCGR2B
FER
FES
FGF3
FGF5
FGFR1
FGFR2
FGFR3
FGR
FH
FLCN
FLI1
FLNA
FLT3
FOS
FOXA1
FOXA2
FOXL2
FOXO1
FOXO3
FOXO4
FOXQ1
FRAT1
FRK
FSTL3
FUBP1
FUS
FYN
GABRA6
GAS7
GATA2
GATA3
GLI1
GMPS
GNA11
GNA13
GNAQ
GNAS
GPR68
GPS2
GRIN2D
GTF2I
H3F3A
H3F3C
HCK
HGF
HIC1
HIF3A
HIST1H1C
HIST1H1E
HLA-A
HLA-B
HMGA2
HOPX
HOXA9
HPGD
HRAS
HTATIP2
HUWE1
IDH1
IDH2
IL6ST
IL7R
ING1
ING4
INPPL1
IRF1
IRF2
IRF6
JAK1
JAK2
JAK3
JAZF1
JUN
KANSL1
KAT6A
KCTD11
KDM5C
KDM6A
KDSR
KEAP1
KEL
KIF1A
KIT
KLF4
KLF5
KLK10
KMT2A
KMT2B
KMT2C
KMT2D
KRAS
KRT222
LATS1
LATS2
LCK
LEMD2
LETMD1
LGR6
LHX4
LIMD1
LIN9
LITAF
LMO2
LYL1
LYN
LZTR1
LZTS1
MACF1
MAF
MAFB
MAP2K1
MAP2K4
MAP3K1
MAP3K4
MAP3K8
MAPK1
MAPKAPK5
MAX
MCF2
MCF2L
MCTS1
MDM2
MDM4
MECOM
MED12
MEN1
MERTK
MET
MFHAS1
MGA
MGMT
MKL1
MLH1
MLLT1
MLLT10
MLLT11
MLLT3
MLLT4
MN1
MPL
MSH2
MSH3
MSH6
MTOR
MTSS1
MTUS1
MUC1
MUC6
MUTYH
MXI1
MYB
MYC
MYCN
MYD88
MYEOV
MYH9
NBL1
NCKIPSD
NCOA1
NCOA3
NCOA4
NCOR1
NDRG2
NET1
NF1
NF2
NFE2L2
NFKB2
NIPBL
NKX2-1
NKX3-1
NOTCH1
NOTCH2
NPM1
NPRL2
NR4A3
NRAS
NSD1
NTRK1
NUP133
NUP214
NUP93
PAF1
PALB2
PARK7
PATZ1
PAX3
PAX5
PAX7
PBRM1
PBX1
PCBP1
PDCD4
PDGFB
PDGFD
PDGFRA
PDGFRB
PDS5B
PGR
PHB
PHF6
PHLDA3
PHLPP1
PHLPP2
PICALM
PIK3CA
PIK3CB
PIK3CG
PIK3R1
PIK3R2
PIM1
PIM2
PINX1
PLCB4
PLCG1
PLEKHG2
PLEKHO1
PLK2
PLXNB2
PML
PMS1
PMS2
POLE
POLQ
POLRMT
POU2AF1
PPAPDC1B
PPM1D
PPP2R1A
PPP6C
PRCC
PRDM1
PRKAR1A
PRKCD
PRKCDBP
PRKCI
PRR5
PSIP1
PTCH1
PTEN
PTMA
PTPDC1
PTPN11
PTPRC
PTPRD
PTTG1
PYCARD
PYHIN1
RAB8A
RAC1
RAD21
RAF1
RAP1A
RARA
RARB
RASA1
RASL10A
RASSF1
RASSF2
RASSF4
RASSF5
RB1
RB1CC1
RBL1
RBL2
RBM10
RBM15
RBMX
RECK
REL
RET
RFC1
RHEB
RHOA
RHOB
RIT1
RNF111
RNF213
RNF43
ROS1
RPL22
RPL5
RPS6KA2
RPS6KA3
RQCD1
RRAS2
RUNX1
RUNX1T1
RXRA
SASH1
SCAF4
SEC31A
SET
SETBP1
SETD2
SF1
SF3B1
SH3GL1
SIN3A
SIRT4
SKP2
SMAD2
SMAD4
SMARCA1
SMARCA4
SMARCB1
SMC1A
SMC3
SMO
SOCS1
SOS1
SOX17
SOX9
SPECC1
SPI1
SPOP
SPTA1
SPTAN1
SRC
SRSF2
SS18
ST20
STAG2
STARD13
STIL
STK11
STYK1
SUFU
SUSD2
SUZ12
TAF1
TAF15
TAL1
TAL2
TBC1D3
TBL1XR1
TBRG1
TBX3
TCEB1
TCF12
TCF3
TCF7L2
TCHP
TCL1A
TCP10L
TCTA
TET2
TFE3
TFG
TFPT
TGFBR2
TGIF1
THRAP3
TLR4
TLX1
TMEM127
TMSB4X
TNFAIP3
TNFRSF17
TOP1
TP53
TP53INP1
TP63
TP73
TPM3
TPR
TRAF3
TRAF7
TRIM24
TRIM37
TSC1
TSC2
TSHR
TXNIP
U2AF1
UFL1
UNCX
USP4
USP6
USP9X
VAV1
VHL
VWA5A
WHSC1
WHSC1L1
WISP1
WNT1
WNT3
WT1
WWOX
WWTR1
XAF1
XPO1
XRN1
YAP1
YES1
ZBTB16
ZBTB20
ZBTB7B
ZBTB7C
ZC3H12A
ZCCHC12
ZDHHC17
ZFHX3
ZFP36L1
ZFP36L2
ZFYVE19
ZMYM2
ZMYM3
ZNF133
ZNF521
ZNF750
