,x
404,MT-ND4L
405,UQCRHL
406,COX6C
407,MT-CYB
408,COX8A
409,COX7A1
410,COX7A2
411,ATP5PO
412,ATP5PD
413,ATP5F1E
414,ATP5PF
415,ATP5F1A
416,ATP5PB
417,ATP5F1C
418,TCIRG1
419,ATP6V1G3
420,ATP6V1G2
421,ATP6V1G1
422,COX10
423,COX11
424,COX15
425,COX17
426,PPA2
427,PPA1
428,NDUFV3
429,NDUFV2
430,NDUFV1
431,MT-ATP8
432,NDUFA6
433,NDUFA7
434,NDUFA4
435,NDUFA5
436,NDUFA2
437,NDUFA3
438,NDUFA1
439,NDUFA8
440,NDUFA9
441,COX4I2
442,COX4I1
443,MT-ATP6
444,ATP6V1E1
445,ATP6V1E2
446,ATP5F1D
447,COX7B
448,COX7C
449,ATP6V0B
450,COX5A
451,COX5B
452,ATP6V0C
453,UQCR10
454,UQCR11
455,ATP5F1B
456,ATP5MC1
457,ATP5MC3
458,ATP5MC2
459,ATP6V0A4
460,LHPP
461,ATP5MG
462,ATP6V1B1
463,ATP6V1B2
464,ATP6V0A1
465,NDUFC1
466,NDUFC2
467,ATP6V0A2
468,NDUFS8
469,ATP6V1C2
470,ATP12A
471,ATP6V1C1
472,COX7A2L
473,ATP4A
474,ATP4B
475,CYC1
476,NDUFS1
477,NDUFS2
478,NDUFS3
479,NDUFS4
480,NDUFS5
481,NDUFS6
482,NDUFS7
483,ATP6V0E1
484,ATP6V0E2
485,CA5B
486,CA5A
487,CA8
488,GLUD2
489,CA3
490,CA2
491,CA1
492,CA14
493,CA13
494,CA9
495,GLUD1
496,CA4
497,CA12
498,CA6
499,CPS1
500,CA7
501,PAPSS1
502,PAPSS2
503,BPNT1
504,MPST
505,SQOR
506,TST
507,SUOX
508,ETHE1
509,ACSL3
510,OLAH
511,ACSL1
512,ACSL6
513,OXSM
514,ACSL4
515,ACSL5
516,FASN
517,ACSBG1
518,ACSBG2
519,MCAT
520,HSD17B12
521,ABHD17A
522,ABHD17B
523,ABHD17C
524,THEM5
525,THEM4
526,ELOVL7
527,HADHB
528,PPT1
529,PPT2
530,TECR
531,ACAA2
532,MECR
533,ACOT7
534,ACOT4
535,ACOT2
536,ACOT1
537,HACD1
538,HACD3
539,HACD2
540,HACD4
541,ELOVL6
542,ELOVL4
543,ELOVL5
544,ELOVL2
545,ELOVL3
546,ELOVL1
547,CPT2
548,ACADVL
549,ACADL
550,GCDH
551,ACAA1
552,ACOX1
553,CPT1A
554,CPT1C
555,CPT1B
556,ACADSB
557,CYP4A11
558,CYP4A22
559,ECI2
560,ECI1
561,ACOX3
562,MSMO1
563,SOAT2
564,SOAT1
565,TM7SF2
566,CYP27B1
567,CEL
568,SQLE
569,NSDHL
570,DHCR7
571,SC5D
572,CYP24A1
573,EBP
574,LSS
575,CYP51A1
576,LIPA
577,CYP2R1
578,FDFT1
579,HSD17B7
580,DHCR24
581,CYP7B1
582,ACOX2
583,CYP8B1
584,CYP46A1
585,SCP2
586,AKR1D1
587,AKR1C4
588,CYP27A1
589,AMACR
590,HSD3B7
591,CYP39A1
592,ACOT8
593,SLC27A5
594,CYP7A1
595,HSD17B4
596,BAAT
597,CH25H
598,HSD17B1
599,CYP11B2
600,CYP17A1
601,AKR1C2
602,CYP11A1
603,CYP1B1
604,CYP3A7-CYP3A51P
605,HSD17B8
606,CYP21A2
607,SRD5A3
608,SRD5A2
609,SRD5A1
610,AKR1C3
611,HSD11B2
612,HSD17B6
613,AKR1C1
614,HSD3B2
615,DHRS11
616,LRTOMT
617,COMT
618,STS
619,SULT1E1
620,CYP3A7
621,CYP3A4
622,CYP3A5
623,HSD17B2
624,CYP1A1
625,CYP1A2
626,HSD17B3
627,CYP19A1
628,CYP2E1
629,HSD3B1
630,SULT2B1
631,CYP11B1
632,HSD11B1
633,GK2
634,AGK
635,DGKZ
636,MGLL
637,PLPP3
638,GPAT4
639,MBOAT2
640,MBOAT1
641,PNLIP
642,DGAT2
643,PNLIPRP1
644,PNLIPRP3
645,LPIN2
646,LPIN3
